,num_yelp_bus,med_hh_income,est_num_damaged_bus,zip_code,2010 Census Population,Date,RegionID,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
0,506.0,72306,6619,77002,16793,2019-03-31,91651.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,6767.0,246200.0,-0.000811688311688312,-0.0144115292233787,-0.0371529135705905,0.030752690413942997,0.0165645502391178,2018-05,2018-Q2,258000.0,-0.0457364341085271,2017-10
1,108.0,59575,1122,77003,10508,2019-03-31,91652.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,7385.0,285000.0,0.00105374077976818,0.00493653032440056,-0.007660167130919221,0.0517056956154531,0.0361036570256983,2018-05,2018-Q2,289400.0,-0.0152038700760194,2017-09
2,254.0,48592,2711,77004,32692,2019-03-31,91653.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1457.0,296700.0,-0.00603015075376884,-0.0129740518962076,-0.0129740518962076,0.0773760847103355,0.0380689020413596,2018-07,2018-Q3,305000.0,-0.0272131147540984,2018-02
3,195.0,180758,3561,77005,25528,2019-03-31,91654.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,4273.0,1028300.0,-0.00116561437591064,0.00665687714145864,0.0473619881849664,0.059258180147667,0.0429780601000611,2019-02,2019-Q1,1029500.0,-0.00116561437591064,2019-02
4,251.0,82878,3050,77006,19664,2019-03-31,91655.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,2131.0,490600.0,-0.0032507110930516,-0.0018311291963377398,0.0374286318460562,0.0471271679741465,0.039571638542109,2019-01,2019-Q1,492700.0,-0.00426222853663487,2018-12
5,311.0,121458,5003,77007,30853,2019-03-31,91656.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,325.0,410600.0,-0.0014591439688716,0.0,0.00293111871030777,0.033162165188187,0.029907323603092003,2018-06,2018-Q2,412000.0,-0.00339805825242718,2018-04
6,315.0,97690,4341,77008,30482,2019-03-31,91657.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,991.0,449900.0,0.0022276676319893103,0.0101032779524023,0.0375922509225092,0.0558195555696235,0.0427905883208217,2019-03,2019-Q1,449900.0,0.0,2019-03
7,132.0,49383,2078,77009,38094,,,,,,,,,,,,,,,,,,
8,57.0,30665,890,77011,19547,,,,,,,,,,,,,,,,,,
9,36.0,36537,601,77012,20719,,,,,,,,,,,,,,,,,,
10,10.0,39513,697,77013,17602,2019-03-31,91662.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,6952.0,133300.0,0.00984848484848485,0.0373540856031128,0.134468085106383,0.116590133221187,0.0427568599471149,2019-03,2019-Q1,133300.0,0.0,2019-03
11,2.0,45596,1628,77014,28684,2019-03-31,91663.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,3560.0,170300.0,0.00294464075382803,0.017931858936043,0.0923669018601668,0.0682838084854362,0.0285636025783171,2019-03,2019-Q1,170300.0,0.0,2019-03
12,5.0,45917,2430,77015,53621,2019-03-31,91664.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1075.0,142200.0,0.00423728813559322,0.0222861250898634,0.0797266514806378,0.0982517853755704,0.0411602981752075,2019-03,2019-Q1,142200.0,0.0,2019-03
13,25.0,32302,1067,77016,26989,2019-03-31,91665.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,4371.0,106100.0,0.00568720379146919,0.0300970873786408,0.06312625250501,0.0927319825932522,0.0402576882156158,2019-03,2019-Q1,106100.0,0.0,2019-03
14,58.0,44286,1519,77017,32561,2019-03-31,91666.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,4216.0,134900.0,0.0029739776951672897,0.0181132075471698,0.13647851727042998,0.103613355736179,0.0450792440356245,2019-03,2019-Q1,134900.0,0.0,2019-03
15,170.0,81565,2740,77018,25563,2019-03-31,91667.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,3424.0,429500.0,-0.00185916802231002,0.0011655011655011698,0.0716067864271457,0.0764227616287818,0.0572252134839655,2019-01,2019-Q1,431000.0,-0.00348027842227378,2019-01
