id,name,categories,latitude,longitude,review_count,rating,price,zip_code,city,state,country,display_address,display_phone,alias,is_closed,url,lifeline_1,lifeline_2,lifeline_3,lifeline_4,lifeline_5,lifeline_6,lifeline_7,address
--4m48NzUAHvTd4v0u5YIg,Christian's Tailgate Bar and Grill,sportsbars,29.752572734780998,-95.376317416484,353.0,3.0,$$,77002.0,Houston,TX,US,"['2000 Bagby St', 'Houston, TX 77002']",(713) 527-0261,christians-tailgate-bar-and-grill-houston,False,https://www.yelp.com/biz/christians-tailgate-bar-and-grill-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2000 Bagby St    
--4uMhyYMhURrd3dgwe_mA,Tu-Go Kitchen,foodtrucks,29.7105312347412,-95.3817596435547,7.0,2.0,$$,77021,Houston,TX,US,"['1 Hermann Park Ct', 'Houston, TX 77021']",(832) 910-7533,tu-go-kitchen-houston,False,https://www.yelp.com/biz/tu-go-kitchen-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1 Hermann Park Ct    
--tU4l_I9bKvJAeKYPbdSw,Treebeards,southern,29.75527,-95.36304,32.0,4.0,$,77010.0,Houston,TX,US,"['1200 McKinney St', 'Ste 329', 'Houston, TX 77010']",(713) 400-9595,treebeards-houston-3,False,https://www.yelp.com/biz/treebeards-houston-3?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1200 McKinney St Ste 329  
-07hPjEFeAZVe7XSHIz54A,Hollywood Sign Hike,hiking,34.1202807,-118.3161413,178.0,4.5,,90068,Los Angeles,CA,US,"['3200 Canyon Dr', 'Bronson Canyon Griffith Park', 'Los Angeles, CA 90068']",(323) 666-5046,hollywood-sign-hike-los-angeles,False,https://www.yelp.com/biz/hollywood-sign-hike-los-angeles?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3200 Canyon Dr   Bronson Canyon Griffith Park
-1hWNeXT09Sjwbref49wrg,Chase Bank,banks,29.829029,-95.42936,6.0,2.5,,77018.0,Houston,TX,US,"['4320 Ella Blvd', 'Houston, TX 77018']",(713) 680-4381,chase-bank-houston-174,False,https://www.yelp.com/biz/chase-bank-houston-174?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4320 Ella Blvd    
-1lXfnOZjDxVmRpnDkoyrQ,VITAS Healthcare,hospice,29.73732,-95.42428000000001,5.0,1.5,,77098.0,Houston,TX,US,"['3131 Eastside St', 'Ste 200', 'Houston, TX 77098']",(713) 663-4900,vitas-healthcare-houston-2,False,https://www.yelp.com/biz/vitas-healthcare-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3131 Eastside St Ste 200  
-3S1PdyDbSQcqkIaX8VKrQ,Wirtshaus German Restaurant & Beer Garden,german,34.07757,-118.34438,795.0,4.0,$$,90036,Los Angeles,CA,US,"['345 N La Brea Ave', 'Los Angeles, CA 90036']",(323) 931-9291,wirtshaus-german-restaurant-and-beer-garden-los-angeles-2,False,https://www.yelp.com/biz/wirtshaus-german-restaurant-and-beer-garden-los-angeles-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,345 N La Brea Ave    
-3_BpWeAYFeRMDZ8dh060g,Unity National Bank,banks,29.723240000000004,-95.37083,2.0,4.0,,77004.0,Houston,TX,US,"['2602 Blodgett St', 'Houston, TX 77004']",(713) 387-7400,unity-national-bank-houston-3,False,https://www.yelp.com/biz/unity-national-bank-houston-3?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2602 Blodgett St    
-4V9y-eElVAgWaGHvF2YOw,Al Ameen Grocery & Halal Meat Market,meats,29.6841,-95.39154,8.0,4.5,$$,77054,Houston,TX,US,"['8403 Almeda Rd', 'Ste B', 'Houston, TX 77054']",(713) 842-6192,al-ameen-grocery-and-halal-meat-market-houston,False,https://www.yelp.com/biz/al-ameen-grocery-and-halal-meat-market-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8403 Almeda Rd Ste B  
-5WfdEyGSfaxTTUEdFwVdQ,Bank of America,banks,29.75273,-95.40302,18.0,2.0,,77019.0,Houston,TX,US,"['1905 W Gray St', 'Houston, TX 77019']",(713) 831-1700,bank-of-america-houston-67,False,https://www.yelp.com/biz/bank-of-america-houston-67?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1905 W Gray St    
