address1,address2,address3,alias,categories,city,country,display_address,display_phone,distance,id,image_url,is_closed,latitude,longitude,name,phone,price,rating,review_count,state,transactions,url,zip_code,fema_l1
4676 Beechnut St,,,verizon-authorized-retailer-cellular-sales-houston,"[['mobilephones', 'Mobile Phones'], ['cellphoneaccessories', 'Mobile Phone Accessories'], ['telecommunications', 'Telecommunications']]",Houston,US,"['4676 Beechnut St', 'Houston, TX 77096']",(713) 432-1162,12495.147781780986,VUz85GpBfbTXW1lXd8PmNA,https://s3-media2.fl.yelpcdn.com/bphoto/3mL0W60cCDXPZJf4MW_wfw/o.jpg,False,29.6896184,-95.4579288,Verizon Authorized Retailer - Cellular Sales,+17134321162,$$$,3.0,10,TX,[],https://www.yelp.com/biz/verizon-authorized-retailer-cellular-sales-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77096,5
1301 Fannin,,,j-and-j-telecommunications-houston,"[['telecommunications', 'Telecommunications']]",Houston,US,"['1301 Fannin', 'Houston, TX 77002']",(888) 835-3260,1195.317119336053,gPU_gbPZCwOaFcifmAPwkQ,,False,29.7535357,-95.3657714,J & J Telecommunications,+18888353260,NAN,5.0,1,TX,[],https://www.yelp.com/biz/j-and-j-telecommunications-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,5
2950 North Lp W,Fl 8,,logix-communications-houston,"[['isps', 'Internet Service Providers'], ['telecommunications', 'Telecommunications']]",Houston,US,"['2950 North Lp W', 'Fl 8', 'Houston, TX 77092']",(713) 865-8427,9745.511527272782,1vdHo0xGa-UQC860lGj6Zg,https://s3-media3.fl.yelpcdn.com/bphoto/07lBuox0DN1pzeRxwJjCXg/o.jpg,False,29.804928,-95.4486488,LOGIX Communications,+17138658427,NAN,1.5,28,TX,[],https://www.yelp.com/biz/logix-communications-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77092,5
5916 Allday Dr,,,aae-advanced-technology-services-houston,"[['web_design', 'Web Design'], ['telecommunications', 'Telecommunications'], ['datarecovery', 'Data Recovery']]",Houston,US,"['5916 Allday Dr', 'Houston, TX 77036']",(713) 955-6360,17098.625821333295,HWDvJIP5KTu8UBW3fwWKeg,https://s3-media1.fl.yelpcdn.com/bphoto/-RwkTVh90SyJVzzOt3nrFw/o.jpg,False,29.7160511,-95.5284195,AAE Advanced Technology Services,+17139556360,NAN,3.0,5,TX,[],https://www.yelp.com/biz/aae-advanced-technology-services-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77036,5
20220 Hempstead Rd,Ste 35,,sound-by-design-houston,"[['hometheatreinstallation', 'Home Theatre Installation'], ['homeautomation', 'Home Automation'], ['telecommunications', 'Telecommunications']]",Houston,US,"['20220 Hempstead Rd', 'Ste 35', 'Houston, TX 77065']",(281) 855-0991,31013.3192972955,6-I08f7_Fh8oRfbyj1EJIg,https://s3-media3.fl.yelpcdn.com/bphoto/9wmS7yQxwFS7LCpm6wjeRA/o.jpg,False,29.9201339365052,-95.6256338582276,Sound By Design,+12818550991,NAN,3.0,2,TX,[],https://www.yelp.com/biz/sound-by-design-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77065,5
11125 Equity Drive,Suite 200,,cbeyond-houston-2,"[['telecommunications', 'Telecommunications'], ['isps', 'Internet Service Providers']]",Houston,US,"['11125 Equity Drive', 'Suite 200', 'Houston, TX 77041']",(877) 300-9373,21245.08455042759,6WEbQGFWA_zytGKWJcxDDw,https://s3-media3.fl.yelpcdn.com/bphoto/O99jYRqGOHuUGANiA5tbow/o.jpg,False,29.8383662,-95.5622924,Cbeyond,+18773009373,NAN,1.0,1,TX,[],https://www.yelp.com/biz/cbeyond-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77041,5
21 Waterway Ave,Ste 300,,your-business-solutions-the-woodlands,"[['marketing', 'Marketing'], ['telecommunications', 'Telecommunications']]",The Woodlands,US,"['21 Waterway Ave', 'Ste 300', 'The Woodlands, TX 77380']",(713) 589-3111,45193.88085738274,jFwXK3O-qMTZWPRVYpmGRQ,https://s3-media3.fl.yelpcdn.com/bphoto/6VQQcawZDXZb5LaRl2V5jA/o.jpg,False,30.1602,-95.4594,Your Business Solutions,+17135893111,NAN,5.0,2,TX,[],https://www.yelp.com/biz/your-business-solutions-the-woodlands?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77380,5
204 E Edgewood Dr,,,add-a-jack-friendswood,"[['telecommunications', 'Telecommunications'], ['homenetworkinstall', 'Home Network Installation']]",Friendswood,US,"['204 E Edgewood Dr', 'Friendswood, TX 77546']",(281) 992-0086,29454.833144254844,ydnoiu4UEFQlyaKAC8um_Q,,False,29.5353982,-95.2040651,Add-A-Jack,+12819920086,NAN,2.0,5,TX,[],https://www.yelp.com/biz/add-a-jack-friendswood?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77546,5
,,,install-a-jack-communications-friendswood-3,"[['telecommunications', 'Telecommunications'], ['tvmounting', 'TV Mounting'], ['homenetworkinstall', 'Home Network Installation']]",Friendswood,US,"['Friendswood, TX 77546']",(281) 845-8600,29738.60247135024,BAjcEcs9gTZP5RDSSI6C4A,https://s3-media2.fl.yelpcdn.com/bphoto/hPp4WvU3UalH2uxzqpeTsg/o.jpg,False,29.52948,-95.20142,Install-A-Jack Communications,+12818458600,NAN,5.0,2,TX,[],https://www.yelp.com/biz/install-a-jack-communications-friendswood-3?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77546,5
4418 Bluebonnet Dr,Ste 403,,prostar-communications-stafford-4,"[['telecommunications', 'Telecommunications'], ['securitysystems', 'Security Systems']]",Stafford,US,"['4418 Bluebonnet Dr', 'Ste 403', 'Stafford, TX 77477']",(281) 265-3500,25461.14804902441,slC8izIhUhxhUuEolWiZ9A,https://s3-media2.fl.yelpcdn.com/bphoto/7osuTHu3fQU7MuRdFpye3A/o.jpg,False,29.63607,-95.57908,Prostar Communications,+12812653500,NAN,5.0,1,TX,[],https://www.yelp.com/biz/prostar-communications-stafford-4?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77477,5
