address1,address2,address3,alias,categories,city,country,display_address,display_phone,distance,id,image_url,is_closed,latitude,longitude,name,phone,price,rating,review_count,state,transactions,url,zip_code,fema_l1
12 Greenway Plz,,,bounce-energy-houston,"[['utilities', 'Utilities']]",Houston,US,"['12 Greenway Plz', 'Houston, TX 77046']",(888) 452-6862,8012.000448414217,5XNXbn2y-Ac04jfWiB13nw,https://s3-media4.fl.yelpcdn.com/bphoto/hM-sJieuEMbWP56jWGxETQ/o.jpg,False,29.7331398,-95.4354701,Bounce Energy,+18884526862,NAN,2.5,108,TX,[],https://www.yelp.com/biz/bounce-energy-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77046,4
1201 Fannin St,,,reliant-energy-houston-6,"[['utilities', 'Utilities']]",Houston,US,"['1201 Fannin St', 'Houston, TX 77002']",(866) 222-7100,1097.641955546405,obb1r8iTn1jlR9KE-l7keg,https://s3-media2.fl.yelpcdn.com/bphoto/gEOPNW7zJdvKQHdTZQzmjw/o.jpg,False,29.7543773651123,-95.365119934082,Reliant Energy,+18662227100,NAN,2.0,61,TX,[],https://www.yelp.com/biz/reliant-energy-houston-6?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,4
24 Greenway Plz,Ste 725,,energy-ogre-houston,"[['utilities', 'Utilities']]",Houston,US,"['24 Greenway Plz', 'Ste 725', 'Houston, TX 77046']",(832) 975-1000,8623.391962875226,THAjjzkFUmZ5XwpYIm4oYQ,https://s3-media2.fl.yelpcdn.com/bphoto/6m1tVjzM4uwn8qucS6v7Og/o.jpg,False,29.7300819,-95.4408173,Energy Ogre,+18329751000,NAN,2.5,25,TX,[],https://www.yelp.com/biz/energy-ogre-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77046,4
,,,centerpoint-energy-houston-houston,"[['utilities', 'Utilities']]",Houston,US,"['Houston, TX 77002']",(713) 207-1111,1540.3379217092215,aeh2DEm9BlXoCL8krDagfg,https://s3-media3.fl.yelpcdn.com/bphoto/mmt1kfUL6a0MimfJOICZjg/o.jpg,False,29.75712,-95.36442,Centerpoint Energy Houston,+17132071111,NAN,1.0,108,TX,[],https://www.yelp.com/biz/centerpoint-energy-houston-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,4
11811 North Fwy,Ste 546,,griddy-houston,"[['utilities', 'Utilities']]",Houston,US,"['11811 North Fwy', 'Ste 546', 'Houston, TX 77060']",(800) 993-6207,19924.396641259682,cZrOA6_ExtBdxo8uAAUPkw,https://s3-media3.fl.yelpcdn.com/bphoto/imC5W1xfj5nt58KfYKCX6w/o.jpg,False,29.9359,-95.41357,Griddy,+18009936207,NAN,3.0,17,TX,[],https://www.yelp.com/biz/griddy-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77060,4
,,,entrust-energy-houston,"[['utilities', 'Utilities']]",Houston,US,"['Houston, TX 77010']",(800) 871-8100,847.741786859887,HTr8kxTLX8ndNW39doJufw,https://s3-media1.fl.yelpcdn.com/bphoto/vjOH_l6MxG6k3w7kO9_XEw/o.jpg,False,29.7555418947706,-95.361631015097,Entrust Energy,+18008718100,NAN,2.5,13,TX,[],https://www.yelp.com/biz/entrust-energy-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77010,4
1221 Lamar St,Ste 750,,constellation-houston,"[['utilities', 'Utilities']]",Houston,US,"['1221 Lamar St', 'Ste 750', 'Houston, TX 77010']",(866) 917-8271,1119.442579421961,fBmHg7V-RXTXqN2W7oQq5Q,https://s3-media4.fl.yelpcdn.com/bphoto/iRuRvcVTilRJ41Q-vuowxA/o.jpg,False,29.752975,-95.360623,Constellation,+18669178271,NAN,1.5,60,TX,[],https://www.yelp.com/biz/constellation-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77010,4
5251 Westheimer Rd,Ste 1000,,amigo-energy-houston,"[['utilities', 'Utilities']]",Houston,US,"['5251 Westheimer Rd', 'Ste 1000', 'Houston, TX 77056']",(888) 469-2644,10677.250042326268,CJpV33EQrokEHKsQgRpA-w,https://s3-media1.fl.yelpcdn.com/bphoto/Q-PCHWv6CEkDyVheryOzOQ/o.jpg,False,29.7398283,-95.4672806,Amigo Energy,+18884692644,NAN,1.5,49,TX,[],https://www.yelp.com/biz/amigo-energy-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77056,4
,,,green-mountain-energy-houston-3,"[['utilities', 'Utilities']]",Houston,US,"['Houston, TX 77002']",(866) 785-4668,1540.3379217092215,fYhgzpxTAhSCp_tK7V0Omg,https://s3-media2.fl.yelpcdn.com/bphoto/fBl1Wtn4KgRNaZ5pfuyu1w/o.jpg,False,29.75712,-95.36442,Green Mountain Energy,+18667854668,NAN,2.0,32,TX,[],https://www.yelp.com/biz/green-mountain-energy-houston-3?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,4
5444 Westheimer Rd,Ste 1100,,frontier-utilities-houston,"[['utilities', 'Utilities']]",Houston,US,"['5444 Westheimer Rd', 'Ste 1100', 'Houston, TX 77056']",(877) 437-7440,11295.937476401134,axdqtaDNEXJnvoA4qA8wsA,https://s3-media2.fl.yelpcdn.com/bphoto/j7reCHPHhLqozJq2sQo2nQ/o.jpg,False,29.7389963,-95.4736443,Frontier Utilities,+18774377440,NAN,1.5,44,TX,[],https://www.yelp.com/biz/frontier-utilities-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77056,4
