address1,address2,address3,alias,categories,city,country,display_address,display_phone,distance,id,image_url,is_closed,latitude,longitude,name,phone,price,rating,review_count,state,transactions,url,zip_code,fema_l1
3773 Richmond Ave,1B,,juicewell-houston,"[['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls']]",Houston,US,"['3773 Richmond Ave', '1B', 'Houston, TX 77008']",(713) 401-9698,8260.933606288663,JFIqPZoQre3t7LmibikEaQ,https://s3-media3.fl.yelpcdn.com/bphoto/C8LcqsBQJv6rWygmjYQO-g/o.jpg,False,29.7324326,-95.4379318,JuiceWell,+17134019698,$$,4.5,127,TX,[],https://www.yelp.com/biz/juicewell-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77008,2
1000 W Gray St,Ste 200,,nourish-juice-and-smoothie-bar-houston-10,"[['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls']]",Houston,US,"['1000 W Gray St', 'Ste 200', 'Houston, TX 77019']",(346) 701-1505,3223.492864214113,UJZdRJNLDD9M-ufaQYwWJA,https://s3-media3.fl.yelpcdn.com/bphoto/rjKO_aDTYQZDbTWYIve0bw/o.jpg,False,29.7536,-95.3917,Nourish Juice & Smoothie Bar,+13467011505,$$,4.0,248,TX,"['pickup', 'delivery']",https://www.yelp.com/biz/nourish-juice-and-smoothie-bar-houston-10?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77019,2
4061 Bellaire Blvd,Ste G,,sustain-juicery-houston,"[['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls']]",Houston,US,"['4061 Bellaire Blvd', 'Ste G', 'Houston, TX 77025']",(713) 662-3693,10230.866199649045,4F1jme-6Gy1gWpfHer2g_A,https://s3-media1.fl.yelpcdn.com/bphoto/oqK9v3v0OFxPKAFZbNPPYw/o.jpg,False,29.7057451,-95.4424685,Sustain Juicery,+17136623693,$$,4.0,189,TX,"['pickup', 'delivery']",https://www.yelp.com/biz/sustain-juicery-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77025,2
2400 Mid Ln,Ste 130,,earthcraft-juicery-houston,"[['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls']]",Houston,US,"['2400 Mid Ln', 'Ste 130', 'Houston, TX 77027']",(832) 516-9050,9036.770443409532,dOb1ZGP8GPB6ImeJycfJNg,https://s3-media1.fl.yelpcdn.com/bphoto/t53SewGBQap9gsdfCBqARQ/o.jpg,False,29.74287,-95.45056,Earthcraft Juicery,+18325169050,$$,4.5,88,TX,"['pickup', 'delivery']",https://www.yelp.com/biz/earthcraft-juicery-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77027,2
238 W 19th St,,,juice-girl-houston-7,"[['icecream', 'Ice Cream & Frozen Yogurt'], ['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls']]",Houston,US,"['238 W 19th St', 'Houston, TX 77008']",(713) 478-7486,5925.313844331504,MtdwFqcAlnQWBHThcUWewQ,https://s3-media3.fl.yelpcdn.com/bphoto/375Y329t7UwCbdy-xFFIIA/o.jpg,False,29.802892,-95.400695,Juice Girl,+17134787486,$$,4.0,155,TX,[],https://www.yelp.com/biz/juice-girl-houston-7?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77008,2
304 Gray St,,,nekter-juice-bar-houston-3,"[['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls'], ['icecream', 'Ice Cream & Frozen Yogurt']]",Houston,US,"['304 Gray St', 'Houston, TX 77002']",(832) 968-4180,2068.8372843420593,Dt55XTY1wyOI0ZXvCFO3-A,https://s3-media3.fl.yelpcdn.com/bphoto/AjxUQUrhEzP14V3KPoUX3Q/o.jpg,False,29.7520785,-95.3771975,Nekter Juice Bar,+18329684180,$$,4.0,58,TX,"['pickup', 'delivery']",https://www.yelp.com/biz/nekter-juice-bar-houston-3?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,2
2606 Edloe St,,,bebidas-houston,"[['coffee', 'Coffee & Tea'], ['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls']]",Houston,US,"['2606 Edloe St', 'Houston, TX 77027']",(713) 554-0023,7549.287027834439,puZR2P2hNs_7GqMKo0afvQ,https://s3-media1.fl.yelpcdn.com/bphoto/rlbXhcZRQPEmoVmGlTrgSw/o.jpg,False,29.7412762509263,-95.4340344294906,Bebidas,+17135540023,$$,3.5,134,TX,[],https://www.yelp.com/biz/bebidas-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77027,2
3800 Southwest Fwy,,,nekter-juice-bar-houston-2,"[['acaibowls', 'Acai Bowls'], ['juicebars', 'Juice Bars & Smoothies'], ['icecream', 'Ice Cream & Frozen Yogurt']]",Houston,US,"['3800 Southwest Fwy', 'Houston, TX 77027']",(281) 501-2300,8344.86209118865,5AzS-0DZFdMOBzo8x-tRpQ,https://s3-media1.fl.yelpcdn.com/bphoto/9PLLCPW17f1fXTsrp2eG6A/o.jpg,False,29.729725,-95.437345,Nekter Juice Bar,+12815012300,$$,4.0,97,TX,[],https://www.yelp.com/biz/nekter-juice-bar-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77027,2
2155 Durham Dr,Ste 101,,nourish-juice-bar-kalos-coffee-houston,"[['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls'], ['coffee', 'Coffee & Tea']]",Houston,US,"['2155 Durham Dr', 'Ste 101', 'Houston, TX 77007']",(832) 426-4381,5251.178909021873,E1RzEpB8KmN8-vJKTn4faA,https://s3-media2.fl.yelpcdn.com/bphoto/xnSKl1AxeZIIFYqDWw8utg/o.jpg,False,29.778989,-95.411158,Nourish Juice Bar + Kalos Coffee,+18324264381,$$,3.5,95,TX,[],https://www.yelp.com/biz/nourish-juice-bar-kalos-coffee-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77007,2
811 Louisiana St,Ste M16,,daily-juice-cafe-houston-3,"[['juicebars', 'Juice Bars & Smoothies'], ['acaibowls', 'Acai Bowls'], ['wraps', 'Wraps']]",Houston,US,"['811 Louisiana St', 'Ste M16', 'Houston, TX 77002']",(832) 516-7900,740.9704548739688,HEK67RjlRFymeDdaY4VXMw,https://s3-media1.fl.yelpcdn.com/bphoto/j1UOIf7XPecOuofFDcbzXg/o.jpg,False,29.7592922,-95.3663131,Daily Juice Cafe,+18325167900,$,4.5,24,TX,[],https://www.yelp.com/biz/daily-juice-cafe-houston-3?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,2
