address1,address2,address3,alias,categories,city,country,display_address,display_phone,distance,id,image_url,is_closed,latitude,longitude,name,phone,price,rating,review_count,state,transactions,url,zip_code,fema_l1
4500 University Dr,,University of Houston,university-of-houston-campus-recreation-houston,"[['gyms', 'Gyms'], ['recreation', 'Recreation Centers']]",Houston,US,"['4500 University Dr', 'University of Houston', 'Houston, TX 77004']",(713) 743-9500,5431.715064425088,2G_jAKkEGMczP-mhWa0ZVA,https://s3-media1.fl.yelpcdn.com/bphoto/0d2I_e2KJcar7G3unjGweg/o.jpg,False,29.717957,-95.338255,University of Houston Campus Recreation,+17137439500,NAN,4.0,25,TX,[],https://www.yelp.com/biz/university-of-houston-campus-recreation-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77004,2
6100 Main St,,MS-523,barbara-and-david-gibbs-recreation-and-wellness-center-houston,"[['gyms', 'Gyms'], ['recreation', 'Recreation Centers']]",Houston,US,"['6100 Main St', 'MS-523', 'Houston, TX 77005']",(713) 348-4058,6529.333863037475,BzyUR3HuKWmlxzfKEElXtg,https://s3-media4.fl.yelpcdn.com/bphoto/gzMfTKrhMvCXZ2sa851GDg/o.jpg,False,29.7183446411792,-95.4038348256332,Barbara and David Gibbs Recreation and Wellness Center,+17133484058,NAN,4.0,16,TX,[],https://www.yelp.com/biz/barbara-and-david-gibbs-recreation-and-wellness-center-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77005,2
1832 West Rd,,,uthealth-auxiliary-enterprises-recreation-center-houston-2,"[['recreation', 'Recreation Centers']]",Houston,US,"['1832 West Rd', 'Houston, TX 77054']",(713) 500-8420,8745.915263969477,SXlrrgLK3Wvd3MEap88FAQ,https://s3-media2.fl.yelpcdn.com/bphoto/3Xw0u_VD0l50h3aS7cMxbg/o.jpg,False,29.6914518,-95.3975107,UTHealth Auxiliary Enterprises Recreation Center,+17135008420,NAN,4.0,20,TX,[],https://www.yelp.com/biz/uthealth-auxiliary-enterprises-recreation-center-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77054,2
110 Sabine St,,,fonde-recreation-center-houston,"[['recreation', 'Recreation Centers']]",Houston,US,"['110 Sabine St', 'Houston, TX 77007']",(713) 226-4466,1427.0120063899724,rjk1PFLJVL_konnjaIR6BQ,https://s3-media3.fl.yelpcdn.com/bphoto/CAOEAFmzX4rCvP0Pq2hfOw/o.jpg,False,29.7629480450393,-95.3747381642461,Fonde Recreation Center,+17132264466,NAN,4.5,6,TX,[],https://www.yelp.com/biz/fonde-recreation-center-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77007,2
1501 W 18th St,,,the-little-gym-of-houston-heights-houston,"[['recreation', 'Recreation Centers'], ['summer_camps', 'Summer Camps'], ['gymnastics', 'Gymnastics']]",Houston,US,"['1501 W 18th St', 'Houston, TX 77008']",(713) 861-8200,7838.331751637516,4zFJNqK2pO8NkE2hFE_imw,https://s3-media2.fl.yelpcdn.com/bphoto/cpGO_uAOcwfSSKaLJIiY9g/o.jpg,False,29.80213,-95.42753,The Little Gym of Houston Heights,+17138618200,NAN,3.5,14,TX,[],https://www.yelp.com/biz/the-little-gym-of-houston-heights-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77008,2
8550 Memorial Dr,,,bayou-club-houston,"[['recreation', 'Recreation Centers']]",Houston,US,"['8550 Memorial Dr', 'Houston, TX 77024']",(713) 686-4000,8960.393840504204,HRvZRc1ogZuhAdydtsC6PQ,https://s3-media1.fl.yelpcdn.com/bphoto/2soGCjYAiqluUsIW0LZktQ/o.jpg,False,29.77697,-95.451389,Bayou Club,+17136864000,NAN,5.0,3,TX,[],https://www.yelp.com/biz/bayou-club-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77024,2
700 W 6th St,,,h-town-elite-gymnastics-houston,"[['gymnastics', 'Gymnastics'], ['recreation', 'Recreation Centers'], ['preschools', 'Preschools']]",Houston,US,"['700 W 6th St', 'Houston, TX 77007']",(713) 955-5427,4738.016891856733,_5TRJWrQ-hZvNKVeqGDaBA,,False,29.7810681175037,-95.4044263793249,H-Town Elite Gymnastics,+17139555427,NAN,5.0,2,TX,[],https://www.yelp.com/biz/h-town-elite-gymnastics-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77007,2
,Houston,,the-carrick-centre-paisley,"[['recreation', 'Recreation Centers']]",Paisley,GB,"['Houston', 'Paisley PA6 7EL', 'United Kingdom']",,993.5611343824415,fvYz6V7C8g_caF6PUcOwEQ,https://s3-media4.fl.yelpcdn.com/bphoto/IjcJw4AiDkBAd9Yginh3vQ/o.jpg,False,55.867643,-4.550213,The Carrick Centre,,NAN,3.5,2,RFW,[],https://www.yelp.com/biz/the-carrick-centre-paisley?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,PA6 7EL,2
4210 Bellaire Blvd,,,west-university-place-recreation-center-houston,"[['fitness', 'Fitness & Instruction'], ['recreation', 'Recreation Centers']]",Houston,US,"['4210 Bellaire Blvd', 'Houston, TX 77025']",(713) 662-7420,10378.447432375837,gEUqPB4t68Fgts7Asr-8ig,,False,29.706617,-95.446289,West University Place Recreation Center,+17136627420,NAN,5.0,1,TX,[],https://www.yelp.com/biz/west-university-place-recreation-center-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77025,2
4210 Bellaire Blvd,,,city-of-west-university-recreation-center-group-exercise-classe-houston,"[['recreation', 'Recreation Centers']]",Houston,US,"['4210 Bellaire Blvd', 'Houston, TX 77025']",(713) 662-7420,10378.447432375837,dLte2TTX44WDhEHFcABRUQ,,False,29.706617,-95.446289,City of West University Recreation Center Group Exercise Classe,+17136627420,NAN,5.0,1,TX,[],https://www.yelp.com/biz/city-of-west-university-recreation-center-group-exercise-classe-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77025,2
330 W 19th St,,,houston-heights-tower-houston,"[['seniorcenters', 'Senior Centers']]",Houston,US,"['330 W 19th St', 'Houston, TX 77008']",(713) 862-8058,5898.0662400683705,2RI5c-0DXP-UxhbYFgEKqw,,False,29.80386,-95.398961,Houston Heights Tower,+17138628058,NAN,1.0,1,TX,[],https://www.yelp.com/biz/houston-heights-tower-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77008,2
226 Matlage Way,,,t-e-harman-center-sugar-land,"[['seniorcenters', 'Senior Centers']]",Sugar Land,US,"['226 Matlage Way', 'Sugar Land, TX 77478']",(281) 275-2893,31322.527815026642,4yE6E8F99XZqzjLh95eumw,https://s3-media3.fl.yelpcdn.com/bphoto/gTrwZwAOzhetf79fYLg0Ow/o.jpg,False,29.617122056402,-95.6373294844366,T.E. Harman Center,+12812752893,NAN,4.0,1,TX,[],https://www.yelp.com/biz/t-e-harman-center-sugar-land?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77478,2
241 W 19th St,,,casa-ramirez-folkart-gallery-houston,"[['galleries', 'Art Galleries'], ['culturalcenter', 'Cultural Center']]",Houston,US,"['241 W 19th St', 'Houston, TX 77008']",(713) 880-2420,5967.983427259247,99ZoCDotwEeVUwGc_6BDaA,https://s3-media1.fl.yelpcdn.com/bphoto/QShEXc0KOV6-1iduVqRxZw/o.jpg,False,29.80308,-95.40096,Casa Ramirez FOLKART Gallery,+17138802420,$$,5.0,37,TX,[],https://www.yelp.com/biz/casa-ramirez-folkart-gallery-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77008,2
3535 Main St,,,the-ensemble-theatre-houston,"[['theater', 'Performing Arts'], ['culturalcenter', 'Cultural Center']]",Houston,US,"['3535 Main St', 'Houston, TX 77002']",(713) 520-0055,3224.5177617670524,Vrc20oqM7Xkckk58i5azMg,https://s3-media2.fl.yelpcdn.com/bphoto/bIGu0OjpWEcADFsozuHyIw/o.jpg,False,29.73897,-95.37845,The Ensemble Theatre,+17135200055,NAN,4.0,36,TX,[],https://www.yelp.com/biz/the-ensemble-theatre-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,2
1900 Kane St,,,meca-houston-2,"[['culturalcenter', 'Cultural Center'], ['theater', 'Performing Arts']]",Houston,US,"['1900 Kane St', 'Houston, TX 77007']",(713) 802-9370,1744.727527426104,Q8sWA2Kp8LHML0EE2bBqHA,https://s3-media1.fl.yelpcdn.com/bphoto/0TqGMoTxxgbrr1WQodQhmg/o.jpg,False,29.7660649293609,-95.3776878709562,MECA,+17138029370,NAN,5.0,7,TX,[],https://www.yelp.com/biz/meca-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77007,2
