address1,address2,address3,alias,categories,city,country,display_address,display_phone,distance,id,image_url,is_closed,latitude,longitude,name,phone,price,rating,review_count,state,transactions,url,zip_code,fema_l1
111 W 9th St,,,lannings-downtown-grill-coffeyville-2,"[['tradamerican', 'American (Traditional)'], ['breakfast_brunch', 'Breakfast & Brunch']]",Coffeyville,US,"['111 W 9th St', 'Coffeyville, KS 67337']",(620) 251-8255,10558.470056228229,1ZACfh-FZH6M_fWiB2dFow,https://s3-media2.fl.yelpcdn.com/bphoto/X4rHRjWQ9HgwPkqlzb9TjQ/o.jpg,False,37.0349,-95.61576,Lanning's Downtown Grill,+16202518255,$$,4.0,44,KS,[],https://www.yelp.com/biz/lannings-downtown-grill-coffeyville-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
1110 N Santa Fe,Ste A,,cali-clips-deluxe-barbershop-vista-5,"[['barbers', 'Barbers']]",Vista,US,"['1110 N Santa Fe', 'Ste A', 'Vista, CA 92083']",(760) 212-4355,1.2603375254715432,31HsnVaG9GQ3hfBFq75Wtg,https://s3-media2.fl.yelpcdn.com/bphoto/VtpE6js5psISXJcKUXVpfg/o.jpg,False,33.21471383,-117.2456165,Cali Clips Deluxe Barbershop,+17602124355,$$,3.5,7,CA,[],https://www.yelp.com/biz/cali-clips-deluxe-barbershop-vista-5?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,92083,7
Estados Unidos 3241,,,complejo-lavalle-córdoba,"[['cafeteria', 'Cafeteria'], ['pizza', 'Pizza'], ['sandwiches', 'Sandwiches']]",Córdoba,AR,"['Estados Unidos 3241', 'X5000BFD Córdoba', 'Argentina']",+54 351 598-2688,1.2603375254715432,68WJoohKFwu6QrBODehsFA,https://s3-media1.fl.yelpcdn.com/bphoto/0fk0aRlZRo5rjXF8EA4r1g/o.jpg,False,-31.4226551,-64.1425508,Complejo Lavalle,+543515982688,NAN,4.0,3,X,[],https://www.yelp.com/biz/complejo-lavalle-c%C3%B3rdoba?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,X5000BFD,7
206 W 10th St,,,utopia-coffeyville,"[['coffee', 'Coffee & Tea'], ['bakeries', 'Bakeries']]",Coffeyville,US,"['206 W 10th St', 'Coffeyville, KS 67337']",(620) 688-6742,10519.626465164112,dY_l75Rtp1ROSxLKPOYpOg,https://s3-media3.fl.yelpcdn.com/bphoto/fw_asAqtujzCtKay56CYtw/o.jpg,False,37.03413,-95.61742,Utopia,+16206886742,$,4.5,10,KS,[],https://www.yelp.com/biz/utopia-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
Avenida de Eeuu 37,Playa del Ingles,,basement-studios-las-palmas-de-gran-canaria,"[['gaybars', 'Gay Bars'], ['hotels', 'Hotels']]",Las Palmas de Gran Canaria,ES,"['Avenida de Eeuu 37', 'Playa del Ingles', '35100 Las Palmas de Gran Canaria', 'Spain']",+34 928 76 38 35,1.2603375254715432,6HqwUaJgX_K2suSLnxfK3g,https://s3-media2.fl.yelpcdn.com/bphoto/jVpOsO-slDGkdyl_gAjy0A/o.jpg,False,27.7628899,-15.5755301,Basement Studios,+34928763835,€€,3.0,5,GC,[],https://www.yelp.com/biz/basement-studios-las-palmas-de-gran-canaria?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,35100,7
OR-86,,,oregon-trail-memorial-baker-city,"[['landmarks', 'Landmarks & Historical Buildings']]",Baker City,US,"['OR-86', 'Baker City, OR 97814']",,1.2603375254715432,HCTpIYtU5NRc-akwFSgANg,https://s3-media4.fl.yelpcdn.com/bphoto/yf4LJ9VYboUok8h-9Qo0rQ/o.jpg,False,44.8772350052506,-117.740973170973,Oregon Trail Memorial,,NAN,5.0,1,OR,[],https://www.yelp.com/biz/oregon-trail-memorial-baker-city?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,97814,7
678 Hap Guan St,,,mamma-shop-krong-siem-reap,"[['italian', 'Italian']]",Krong Siem Reap,US,"['678 Hap Guan St', 'Krong Siem Reap, KS 17000']",,1.2603375254715432,k9daMwLbuThiNO9FO6nmOw,,False,38.4847259521484,-98.3801727294922,Mamma Shop,,NAN,3.0,2,KS,[],https://www.yelp.com/biz/mamma-shop-krong-siem-reap?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,17000,7
308 S Independence Ave,,,coffee-and-company-dearing,"[['coffee', 'Coffee & Tea'], ['desserts', 'Desserts'], ['sandwiches', 'Sandwiches']]",Dearing,US,"['308 S Independence Ave', 'Dearing, KS 67340']",(620) 688-6484,3259.1770819934,qCQZCQteM_Qwj3TUHU0Fkg,https://s3-media3.fl.yelpcdn.com/bphoto/B8gvXDzV4d5y4DZSTJxAPg/o.jpg,False,37.0560417,-95.710907,Coffee & Company,+16206886484,$$,5.0,2,KS,[],https://www.yelp.com/biz/coffee-and-company-dearing?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67340,7
915 W 11th St,,,hong-kong-delight-coffeyville,"[['chinese', 'Chinese']]",Coffeyville,US,"['915 W 11th St', 'Coffeyville, KS 67337']",(620) 251-2394,9742.210428631202,qr-nAI6pqcwcG7uE6NBsdA,https://s3-media1.fl.yelpcdn.com/bphoto/zPc3gczuo-bihJGJRWj8HA/o.jpg,False,37.032643,-95.630144,Hong Kong Delight,+16202512394,$,3.0,8,KS,[],https://www.yelp.com/biz/hong-kong-delight-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
1505 W 11th St,,,eggberts-15-coffeyville,"[['tradamerican', 'American (Traditional)'], ['breakfast_brunch', 'Breakfast & Brunch']]",Coffeyville,US,"['1505 W 11th St', 'Coffeyville, KS 67337']",(620) 251-6100,10558.959715357836,x-hNGkHha2UNoz0p8ja9kg,https://s3-media1.fl.yelpcdn.com/bphoto/6YxRj3VRdNKOzhfxucbSsA/o.jpg,False,37.0329028031902,-95.6180230358015,Eggbert's #15,+16202516100,$,3.5,6,KS,[],https://www.yelp.com/biz/eggberts-15-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
113 E 8th St,,,dalton-defenders-museum-coffeyville,"[['museums', 'Museums']]",Coffeyville,US,"['113 E 8th St', 'Coffeyville, KS 67337']",(620) 251-5944,10620.1677033609,jlrLLRJ1Nx4Jy7cUvNMJgQ,https://s3-media1.fl.yelpcdn.com/bphoto/mTT5Rgmy1lTElG2TacdehA/o.jpg,False,37.03584,-95.61456,Dalton Defenders Museum,+16202515944,NAN,3.5,5,KS,[],https://www.yelp.com/biz/dalton-defenders-museum-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
2300 Woodland Ave,,,zone-the-coffeyville,"[['sportsbars', 'Sports Bars']]",Coffeyville,US,"['2300 Woodland Ave', 'Coffeyville, KS 67337']",(620) 251-6680,6960.9906726204235,xZBybuxfsDOTy1FOP5xoig,,False,37.05098,-95.65176,The Zone,+16202516680,$,4.5,2,KS,[],https://www.yelp.com/biz/zone-the-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
511 W 11th St,,,phelps-hog-heaven-coffeyville,"[['bbq', 'Barbeque']]",Coffeyville,US,"['511 W 11th St', 'Coffeyville, KS 67337']",(620) 688-6360,10187.714588523375,mIgs3S7gYXan8ysDWtLHEg,https://s3-media3.fl.yelpcdn.com/bphoto/6OJ0Bss816Xb2dfPAlCSQw/o.jpg,False,37.03285,-95.62242,Phelp's Hog Heaven,+16206886360,$,2.5,11,KS,[],https://www.yelp.com/biz/phelps-hog-heaven-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
802 W 11th St,,,sonic-drive-in-coffeyville,"[['icecream', 'Ice Cream & Frozen Yogurt'], ['hotdogs', 'Fast Food'], ['burgers', 'Burgers']]",Coffeyville,US,"['802 W 11th St', 'Coffeyville, KS 67337']",(620) 251-4460,9844.369782304839,LxWu9PjWBF5DEkA_4gPaSw,https://s3-media4.fl.yelpcdn.com/bphoto/5sY9GoyWBznsVgkz59sIlA/o.jpg,False,37.0333767365711,-95.6278431415557,Sonic Drive-In,+16202514460,$$,2.5,8,KS,[],https://www.yelp.com/biz/sonic-drive-in-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
311 W 11th,,,el-charro-coffeyville,"[['mexican', 'Mexican'], ['bars', 'Bars']]",Coffeyville,US,"['311 W 11th', 'Coffeyville, KS 67337']",(620) 948-5030,10415.257110143064,4_xdiKauuYSWxMWfhXr2oQ,https://s3-media4.fl.yelpcdn.com/bphoto/eL6zFbL4xAwh469Tr6P_Bg/o.jpg,False,37.03284,-95.61912,El charro,+16209485030,NAN,4.5,2,KS,[],https://www.yelp.com/biz/el-charro-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
403 W 11th St,,,donut-palace-coffeyville,"[['donuts', 'Donuts'], ['breakfast_brunch', 'Breakfast & Brunch']]",Coffeyville,US,"['403 W 11th St', 'Coffeyville, KS 67337']",(620) 948-5111,10356.926293881377,euEn7hgVwUvrZZIzt8SGkA,https://s3-media4.fl.yelpcdn.com/bphoto/suloYZ1RU3p29IcPifmXGA/o.jpg,False,37.0328688576292,-95.6209284875144,Donut Palace,+16209485111,NAN,5.0,1,KS,[],https://www.yelp.com/biz/donut-palace-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
1616 West 11th Street,,,taco-bell-coffeyville,"[['mexican', 'Mexican'], ['tex-mex', 'Tex-Mex'], ['hotdogs', 'Fast Food']]",Coffeyville,US,"['1616 West 11th Street', 'Coffeyville, KS 67337']",(620) 251-3333,8920.280425214765,Yett6q1IyCXdlkpolPwPkA,https://s3-media3.fl.yelpcdn.com/bphoto/N8mo4g-lqz1nxVSeO8vodQ/o.jpg,False,37.03327,-95.642098,Taco Bell,+16202513333,$,2.5,8,KS,[],https://www.yelp.com/biz/taco-bell-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
1708 W 11th St,,,braums-ice-cream-and-dairy-stores-coffeyville,"[['icecream', 'Ice Cream & Frozen Yogurt']]",Coffeyville,US,"['1708 W 11th St', 'Coffeyville, KS 67337']",(316) 251-5076,8762.056082161642,gTqPwpJae7EI8FreiYYJ1Q,https://s3-media3.fl.yelpcdn.com/bphoto/XRoBuAzk8itv5ZzuHWdAcA/o.jpg,False,37.03341,-95.64306,Braum's Ice Cream & Dairy Stores,+13162515076,$$,3.5,3,KS,[],https://www.yelp.com/biz/braums-ice-cream-and-dairy-stores-coffeyville?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,67337,7
2868A S State Rd 61,,,patoka-river-grille-winslow,"[['newamerican', 'American (New)']]",Winslow,US,"['2868A S State Rd 61', 'Winslow, IN 47598']",(812) 789-8800,1.2603375254715432,ZnCYCuawtYc7tcgxpM9LLA,https://s3-media1.fl.yelpcdn.com/bphoto/5gLiBOj0wQaYd-t2ING6yA/o.jpg,False,38.3795698732138,-87.2182327508926,Patoka River Grille,+18127898800,NAN,1.0,1,IN,[],https://www.yelp.com/biz/patoka-river-grille-winslow?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,47598,7
