address1,address2,address3,alias,categories,city,country,display_address,display_phone,distance,id,image_url,is_closed,latitude,longitude,name,phone,price,rating,review_count,state,transactions,url,zip_code,fema_l1
3405 Edloe St,Ste 300,,diagnostic-eye-center-houston-2,"[['optometrists', 'Optometrists'], ['laserlasikeyes', 'Laser Eye Surgery/Lasik'], ['opthamalogists', 'Ophthalmologists']]",Houston,US,"['3405 Edloe St', 'Ste 300', 'Houston, TX 77027']",(713) 797-1500,7703.302343663956,8ts9_uNFmNxWYZ50zKiNWg,https://s3-media4.fl.yelpcdn.com/bphoto/iTZs0GSdOFmdTzcz5BA4TA/o.jpg,False,29.735514,-95.433187,Diagnostic Eye Center,+17137971500,NAN,4.5,98,TX,[],https://www.yelp.com/biz/diagnostic-eye-center-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77027,3
3100 Weslayan St,Ste 400,,berkeley-eye-center-houston-9,"[['optometrists', 'Optometrists'], ['opthamalogists', 'Ophthalmologists'], ['laserlasikeyes', 'Laser Eye Surgery/Lasik']]",Houston,US,"['3100 Weslayan St', 'Ste 400', 'Houston, TX 77027']",(713) 526-3937,8448.232971307607,s1RZGUhLpBDTWwGDepw0Sw,https://s3-media3.fl.yelpcdn.com/bphoto/AzDvF4vsxIamXms6egVPjA/o.jpg,False,29.73703,-95.442184,Berkeley Eye Center,+17135263937,NAN,4.5,110,TX,[],https://www.yelp.com/biz/berkeley-eye-center-houston-9?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77027,3
3700 Buffalo Speedway,Ste 325,,lasikplus-vision-center-houston,"[['optometrists', 'Optometrists'], ['opthamalogists', 'Ophthalmologists'], ['laserlasikeyes', 'Laser Eye Surgery/Lasik']]",Houston,US,"['3700 Buffalo Speedway', 'Ste 325', 'Houston, TX 77098']",(877) 516-7587,7495.912926351461,wxmRe0E_eeHpPtiJXItwyA,https://s3-media2.fl.yelpcdn.com/bphoto/BghJZ8lF1GRL0fQPolfVwg/o.jpg,False,29.73246,-95.429451,LasikPlus Vision Center,+18775167587,NAN,4.5,116,TX,[],https://www.yelp.com/biz/lasikplus-vision-center-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77098,3
1512 W Alabama St,,,the-skin-renewal-center-houston,"[['skincare', 'Skin Care'], ['medicalspa', 'Medical Spas'], ['cosmeticsurgeons', 'Cosmetic Surgeons']]",Houston,US,"['1512 W Alabama St', 'Houston, TX 77006']",(713) 533-0800,4552.5856956363705,-GDR0S6WbAISmZ_8pJfm-Q,https://s3-media1.fl.yelpcdn.com/bphoto/DzPpfaB1MxwazoFEF7oL8Q/o.jpg,False,29.73894,-95.39816,The Skin Renewal Center,+17135330800,$$,4.5,67,TX,[],https://www.yelp.com/biz/the-skin-renewal-center-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77006,3
5151 Katy Fwy,Ste 100,,hayley-nguyen-md-houston,"[['familydr', 'Family Practice']]",Houston,US,"['5151 Katy Fwy', 'Ste 100', 'Houston, TX 77007']",(713) 461-4101,5337.0370952477815,bSXsx5s99MjMvxbh9UaSTg,https://s3-media3.fl.yelpcdn.com/bphoto/ZAjJGy9Uy9IRe40335VqMQ/o.jpg,False,29.7765001761894,-95.4130257116797,"Hayley Nguyen, MD",+17134614101,NAN,4.0,127,TX,[],https://www.yelp.com/biz/hayley-nguyen-md-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77007,3
946 N Shepherd Dr,Ste A,,crōm-rehabilitation-houston,"[['physicaltherapy', 'Physical Therapy'], ['sportsmed', 'Sports Medicine'], ['rehabilitation_center', 'Rehabilitation Center']]",Houston,US,"['946 N Shepherd Dr', 'Ste A', 'Houston, TX 77008']",(713) 868-2766,5555.611750090451,s-_29r1rQ5eN3BL4K0r6hA,https://s3-media2.fl.yelpcdn.com/bphoto/QN_VbRWwNaCTRNRnfbenEg/o.jpg,False,29.7884262831706,-95.4095234743792,Crōm Rehabilitation,+17138682766,NAN,5.0,46,TX,[],https://www.yelp.com/biz/cr%C5%8Dm-rehabilitation-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77008,3
3100 Timmons Ln,Ste 585,,hype-sports-medicine-houston-3,"[['chiropractors', 'Chiropractors'], ['acupuncture', 'Acupuncture'], ['sportsmed', 'Sports Medicine']]",Houston,US,"['3100 Timmons Ln', 'Ste 585', 'Houston, TX 77027']",(832) 899-5856,7988.925058994487,u1kq7LAxvfYzAwLdtFuwPg,https://s3-media2.fl.yelpcdn.com/bphoto/yOZMCCkGZ5K4h168WSOu1A/o.jpg,False,29.73656,-95.43711,Hype Sports Medicine,+18328995856,NAN,5.0,27,TX,[],https://www.yelp.com/biz/hype-sports-medicine-houston-3?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77027,3
1200 McKinney St,Ste 411,,berkeley-eye-center-houston-5,"[['optometrists', 'Optometrists'], ['opthamalogists', 'Ophthalmologists'], ['opticians', 'Eyewear & Opticians']]",Houston,US,"['1200 McKinney St', 'Ste 411', 'Houston, TX 77010']",(713) 759-9449,929.2547155790887,RW3yEXO7YOe_viozPCx1mA,https://s3-media4.fl.yelpcdn.com/bphoto/AMM55Q1bjlvCgFMdHjcUcQ/o.jpg,False,29.755124,-95.363089,Berkeley Eye Center,+17137599449,$$,4.5,50,TX,[],https://www.yelp.com/biz/berkeley-eye-center-houston-5?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77010,3
5115 Main St,,,mann-eye-institute-houston-2,"[['opthamalogists', 'Ophthalmologists'], ['laserlasikeyes', 'Laser Eye Surgery/Lasik'], ['optometrists', 'Optometrists']]",Houston,US,"['5115 Main St', 'Houston, TX 77002']",(713) 580-2500,4599.163676920009,JsERokZvg8FbG8W1UXWKxg,https://s3-media2.fl.yelpcdn.com/bphoto/Be8Z5AaxjyQtlH_PyPSD1Q/o.jpg,False,29.7288198147266,-95.3867371711639,Mann Eye Institute,+17135802500,NAN,4.0,73,TX,[],https://www.yelp.com/biz/mann-eye-institute-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,3
3400 Bissonnet St,Ste 295,,eraser-clinic-laser-tattoo-removal-houston,"[['tattooremoval', 'Tattoo Removal']]",Houston,US,"['3400 Bissonnet St', 'Ste 295', 'Houston, TX 77005']",(713) 561-5090,7980.8302691396875,qMr_5b1FpZnVmWAIpsjd4g,https://s3-media1.fl.yelpcdn.com/bphoto/DQgdCxeSEhWUWXUC8O4rJA/o.jpg,False,29.72576,-95.4307199,Eraser Clinic Laser Tattoo Removal,+17135615090,NAN,4.5,47,TX,[],https://www.yelp.com/biz/eraser-clinic-laser-tattoo-removal-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77005,3
