address1,address2,address3,alias,categories,city,country,display_address,display_phone,distance,id,image_url,is_closed,latitude,longitude,name,phone,price,rating,review_count,state,transactions,url,zip_code,fema_l1
802 Westheimer Ave,,,houston-police-department-houston-4,"[['policedepartments', 'Police Departments']]",Houston,US,"['802 Westheimer Ave', 'Houston, TX 77006']",(713) 284-8604,3519.862622756229,C3sGdrTTD-1c6_lCuKj6xw,https://s3-media1.fl.yelpcdn.com/bphoto/WfwFBbT5KDXIGLMFodKcOQ/o.jpg,False,29.7449226379395,-95.3898696899414,Houston Police Department,+17132848604,NAN,3.5,13,TX,[],https://www.yelp.com/biz/houston-police-department-houston-4?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77006,1
1200 Travis,,,houston-police-department-houston-5,"[['policedepartments', 'Police Departments']]",Houston,US,"['1200 Travis', 'Houston, TX 77002']",(713) 884-3131,1129.382669463795,ArnIVcbIgFKFksD-m-__Dg,https://s3-media2.fl.yelpcdn.com/bphoto/VzLFga5hrvORv1LUhsSfYQ/o.jpg,False,29.7557602,-95.3675003,Houston Police Department,+17138843131,NAN,3.5,4,TX,[],https://www.yelp.com/biz/houston-police-department-houston-5?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,1
4503 Beechnut,,,houston-police-department-houston-6,"[['policedepartments', 'Police Departments']]",Houston,US,"['4503 Beechnut', 'Houston, TX 77096']",(713) 314-3900,12088.997216629321,pxMfIXiBkTeYkBy8_o18rA,https://s3-media3.fl.yelpcdn.com/bphoto/fDRhNl6g1_BPQJ1ydwpRAg/o.jpg,False,29.6868515014648,-95.4507675170898,Houston Police Department,+17133143900,NAN,2.5,5,TX,[],https://www.yelp.com/biz/houston-police-department-houston-6?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77096,1
2202 St Emanuel St,,,houston-police-department-houston,"[['policedepartments', 'Police Departments']]",Houston,US,"['2202 St Emanuel St', 'Houston, TX 77003']",(713) 884-3131,2254.69009952598,TrBn3RYw2DkOqAq4OKT_Wg,https://s3-media4.fl.yelpcdn.com/bphoto/FAoAfSEAmbWJwt6_cJjt9w/o.jpg,False,29.74238,-95.36308,Houston Police Department,+17138843131,NAN,1.5,5,TX,[],https://www.yelp.com/biz/houston-police-department-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77003,1
61 Riesner St,,,houston-police-department-houston-2,"[['policedepartments', 'Police Departments']]",Houston,US,"['61 Riesner St', 'Houston, TX 77002']",(713) 247-4400,1047.506720332927,rmHCzzq9wvQEGud_ZQOYiA,https://s3-media3.fl.yelpcdn.com/bphoto/wD5cv0oaJbXPcvHDJpCgfQ/o.jpg,False,29.7660408,-95.371254,Houston Police Department,+17132474400,NAN,3.0,2,TX,[],https://www.yelp.com/biz/houston-police-department-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,1
2020 McKinney St,,,city-of-houston-parking-management-houston,"[['parking', 'Parking'], ['policedepartments', 'Police Departments']]",Houston,US,"['2020 McKinney St', 'Houston, TX 77003']",(832) 393-8690,1376.2615669871263,B6A1U7-8ZE1DsbibCpqF6Q,,False,29.7512,-95.35615,City Of Houston Parking Management,+18323938690,NAN,1.0,1,TX,[],https://www.yelp.com/biz/city-of-houston-parking-management-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77003,1
11650 S Sam Houston Pkwy W,,,army-surplus-world-houston,"[['militarysurplus', 'Military Surplus']]",Houston,US,"['11650 S Sam Houston Pkwy W', 'Houston, TX 77031']",(713) 484-5444,21831.0704097618,4MXNEC55OwVoXnS9idZpkA,https://s3-media3.fl.yelpcdn.com/bphoto/jZSlqyXWxuQI3BnOUix09A/o.jpg,False,29.65005,-95.54473,Army Surplus World,+17134845444,NAN,4.5,11,TX,[],https://www.yelp.com/biz/army-surplus-world-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77031,1
11941 Sw Fwy,,,top-brass-military-and-tactical-houston,"[['militarysurplus', 'Military Surplus']]",Houston,US,"['11941 Sw Fwy', 'Houston, TX 77002']",(281) 879-8824,24116.615559801667,emxU0FaJIrxUFv2RqLy8bw,https://s3-media2.fl.yelpcdn.com/bphoto/4BjZsoUJ3nbqUSnEYdmirw/o.jpg,False,29.6484262,-95.570501,Top Brass Military & Tactical,+12818798824,$$,3.5,13,TX,[],https://www.yelp.com/biz/top-brass-military-and-tactical-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,1
14400 North Fwy,,,command-post-army-surplus-houston-2,"[['militarysurplus', 'Military Surplus']]",Houston,US,"['14400 North Fwy', 'Houston, TX 77090']",(281) 209-3322,24376.949561625013,22JQ7C_pN1vmZ-a6p_VLHQ,https://s3-media1.fl.yelpcdn.com/bphoto/K5tWIYTlNBHvH8tKGYNiZQ/o.jpg,False,29.97579,-95.42009,Command Post-Army Surplus,+12812093322,$$,3.5,9,TX,[],https://www.yelp.com/biz/command-post-army-surplus-houston-2?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77090,1
1410 Washington Ave,,,central-police-supply-houston,"[['accessories', 'Accessories'], ['guns_and_ammo', 'Guns & Ammo'], ['militarysurplus', 'Military Surplus']]",Houston,US,"['1410 Washington Ave', 'Houston, TX 77002']",(713) 225-4392,1272.6161640500086,hQ1U4cE7xKeuMhcnuQdCyw,https://s3-media1.fl.yelpcdn.com/bphoto/ZyhvLmWqSYd3XOiPId6SqA/o.jpg,False,29.7677383422852,-95.3718338012695,Central Police Supply,+17132254392,$$,2.5,3,TX,[],https://www.yelp.com/biz/central-police-supply-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,1
10607 East Fwy,,,command-post-army-surplus-houston,"[['militarysurplus', 'Military Surplus']]",Houston,US,"['10607 East Fwy', 'Houston, TX 77002']",(713) 675-3221,11564.020626981852,2gvD98oQzTeusvLnPFXJqQ,https://s3-media3.fl.yelpcdn.com/bphoto/RNsb5QbZCMv-VKEyVLEUMQ/o.jpg,False,29.774333,-95.240857,Command Post-Army Surplus,+17136753221,$$,4.0,1,TX,[],https://www.yelp.com/biz/command-post-army-surplus-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,1
1130 Spring Cypress Rd,,,spring-army-surplus-spring,"[['militarysurplus', 'Military Surplus']]",Spring,US,"['1130 Spring Cypress Rd', 'Spring, TX 77373']",(281) 353-0804,35574.22098719023,hElwnA3IF6SvOgjLNDw-xA,https://s3-media1.fl.yelpcdn.com/bphoto/ub-zwVksJWY2Jku262b3rA/o.jpg,False,30.0768748114985,-95.4315633238973,Spring Army Surplus,+12813530804,NAN,3.5,7,TX,[],https://www.yelp.com/biz/spring-army-surplus-spring?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77373,1
2843 E Sam Houston Pkwy S,,,command-post-army-surplus-pasadena,"[['militarysurplus', 'Military Surplus']]",Pasadena,US,"['2843 E Sam Houston Pkwy S', 'Pasadena, TX 77503']",(281) 998-3233,22389.779094434485,14KR1Tgw4lsyYQxzNp53Gw,https://s3-media2.fl.yelpcdn.com/bphoto/kTvOBD4QpOGjEITRsx7FZg/o.jpg,False,29.66873,-95.15497,Command Post-Army Surplus,+12819983233,$$,3.0,4,TX,[],https://www.yelp.com/biz/command-post-army-surplus-pasadena?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77503,1
2208 Ella Blvd,,,by-the-book-recovery-centers-houston,"[['halfwayhouses', 'Halfway Houses']]",Houston,US,"['2208 Ella Blvd', 'Houston, TX 77008']",(832) 418-1822,8198.087003154282,6A6CwYq1H8o5ixf9Me7_hw,https://s3-media4.fl.yelpcdn.com/bphoto/Q7VJox4F4neZNvzgrGRwIw/o.jpg,False,29.8060088,-95.4289979,By The Book Recovery Centers,+18324181822,NAN,5.0,1,TX,[],https://www.yelp.com/biz/by-the-book-recovery-centers-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77008,1
7606 Antoine Dr,,,houston-sober-living-houston,"[['halfwayhouses', 'Halfway Houses'], ['nonprofit', 'Community Service/Non-Profit']]",Houston,US,"['7606 Antoine Dr', 'Houston, TX 77088']",(713) 701-7606,16479.55455822335,wrUbQd1dIhOr5lnnyXBMuQ,https://s3-media2.fl.yelpcdn.com/bphoto/08wOmYdF8h53vgZW_hxbMg/o.jpg,False,29.87372,-95.47358,Houston Sober Living,+17137017606,NAN,5.0,1,TX,[],https://www.yelp.com/biz/houston-sober-living-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77088,1
701 N San Jacinto St,,,harris-county-sheriffs-office-701-jail-houston,"[['jailsandprisons', 'Jails & Prisons']]",Houston,US,"['701 N San Jacinto St', 'Houston, TX 77002']",(713) 755-8400,286.60128759428136,Fnwhxo8ABNDq4D5NAE71_g,https://s3-media2.fl.yelpcdn.com/bphoto/BsHC00CN2hcLOGMdWFyjCg/o.jpg,False,29.764679,-95.357677,Harris County Sheriff's Office - 701 Jail,+17137558400,NAN,1.5,18,TX,[],https://www.yelp.com/biz/harris-county-sheriffs-office-701-jail-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,1
1200 Baker St,,,1200-baker-st-county-jail-houston,"[['jailsandprisons', 'Jails & Prisons']]",Houston,US,"['1200 Baker St', 'Houston, TX 77002']",(713) 221-6000,371.5625467332597,ZTZ48kxtEMvtx9CX_6ckLQ,,False,29.763352601959,-95.3561239689589,1200 Baker St County Jail,+17132216000,NAN,3.0,2,TX,[],https://www.yelp.com/biz/1200-baker-st-county-jail-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,1
61 Reisner St,,,city-of-houston-jail-houston,"[['jailsandprisons', 'Jails & Prisons']]",Houston,US,"['61 Reisner St', 'Houston, TX 77002']",(713) 247-4400,1051.1822434826606,AzfyZdmco9fBZzvK8LZlLw,,False,29.7649149620529,-95.3706253164206,City of Houston Jail,+17132474400,NAN,2.5,2,TX,[],https://www.yelp.com/biz/city-of-houston-jail-houston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77002,1
1 Criminal Justice Dr,,,montgomery-county-sheriffs-office-and-jaill-conroe,"[['jailsandprisons', 'Jails & Prisons']]",Conroe,US,"['1 Criminal Justice Dr', 'Conroe, TX 77301']",(936) 760-5800,64170.429520658145,X8OhheNi_wPe5svdNjMdoQ,,False,30.334719,-95.452316,Montgomery County Sheriff's Office and Jaill,+19367605800,NAN,5.0,1,TX,[],https://www.yelp.com/biz/montgomery-county-sheriffs-office-and-jaill-conroe?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77301,1
5700 Ave H,,,galveston-county-jail-galveston,"[['jailsandprisons', 'Jails & Prisons']]",Galveston,US,"['5700 Ave H', 'Galveston, TX 77551']",(409) 766-2315,73169.15980615137,XzQ7WVpzlEHSdxzfFxrnVQ,https://s3-media2.fl.yelpcdn.com/bphoto/sOQ3pBUUAj4tqMH3Uw5Lxw/o.jpg,False,29.29316,-94.83178,Galveston County Jail,+14097662315,NAN,4.5,2,TX,[],https://www.yelp.com/biz/galveston-county-jail-galveston?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77551,1
3602 County Rd 45,,,brazoria-county-jail-angleton,"[['jailsandprisons', 'Jails & Prisons']]",Angleton,US,"['3602 County Rd 45', 'Angleton, TX 77515']",(979) 864-2240,57969.16493182073,j1M1MCxRy6o-ySphzKpkgg,,False,29.2450831085443,-95.4068291187286,Brazoria County Jail,+19798642240,NAN,1.5,3,TX,[],https://www.yelp.com/biz/brazoria-county-jail-angleton?adjust_creative=i3Qg1cbzjpXgYfDuZ0MhXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=i3Qg1cbzjpXgYfDuZ0MhXQ,77515,1
